slug,titre_propose,description_proposee,tags
torii-gate-fushimi-kyoto,"Torii rouge au sanctuaire Fushimi Inari, Kyoto","Des centaines de torii vermillon forment un tunnel au creux des collines de Kyoto. Pris à l'aube avant l'affluence des touristes.","japon,kyoto,sanctuaire,torii,architecture,orange,shinto"
mont-fuji-lac-kawaguchi,"Mont Fuji au lever du soleil depuis le lac Kawaguchi","Le Fuji-san se reflète dans les eaux calmes du lac Kawaguchi à l'aube. La neige sur le sommet contraste avec le ciel rose du matin.","japon,mont-fuji,lac,reflet,lever-du-soleil,paysage,montagne"
temple-senso-ji-asakusa,"Temple Senso-ji sous la neige, Asakusa Tokyo","La pagode à cinq étages du Senso-ji sous un manteau de neige rare. Tokyo silencieuse et blanche, un matin de janvier.","japon,tokyo,asakusa,temple,neige,hiver,bouddhisme"
geisha-gion-kyoto,"Geisha dans les ruelles de Gion au crépuscule","Une maiko en kimono traverse les pavés de Gion à la tombée du jour. Les lanternes en papier illuminent doucement les maisons de bois.","japon,kyoto,gion,geisha,maiko,crépuscule,rue,kimono"
aurore-boreale-jokulsarlon,"Aurore boréale au-dessus du lagon de Jökulsárlón","Les rideaux verts de l'aurore boréale dansent au-dessus des icebergs bleus du lagon Jökulsárlón. Une nuit de septembre en Islande.","islande,aurore-boreale,jokulsarlon,iceberg,nuit,ciel,vert,lagon"
cascade-skogafoss-islande,"Cascade de Skógafoss sous un arc-en-ciel","L'eau tombe de 60 mètres et crée en permanence un arc-en-ciel à la base de Skógafoss. Une bruine fine enveloppe les falaises de basalte.","islande,skogafoss,cascade,arc-en-ciel,basalte,eau,paysage"
fjord-myvatn-islande,"Lac Mývatn et ses formations volcaniques","Les pseudo-cratères de Skútustaðagígar se reflètent dans le lac Mývatn. Paysage lunaire façonné par les éruptions volcaniques du nord de l'Islande.","islande,myvatn,volcan,lac,cratère,géologie,nord"
village-oia-santorin,"Maisons blanches et dômes bleus à Oia, Santorin","Les architectures cycladiques d'Oia descendent en cascade vers la mer Égée. Le coucher de soleil teinte de rose et d'or les dômes bleus emblématiques.","grece,santorin,oia,coucher-de-soleil,mer-egee,blanc,bleu,cyclades"
monastere-meteores-grece,"Monastère suspendu dans les météores au lever du soleil","Le monastère de Varlaam semble flotter entre ciel et terre au-dessus des pitons rocheux des Météores. Lumière dorée de l'aube en Thessalie.","grece,meteores,monastere,roche,lever-du-soleil,orthodoxe,thessalie"
porto-ribeira-portugal,"Le quartier de Ribeira et les barcos rabelos, Porto","Les façades colorées du quartier de Ribeira se mirent dans le Douro. Des barcos rabelos traditionnels attendent sous les ponts historiques.","portugal,porto,ribeira,douro,bateau,coloré,patrimoine"
lisbonne-tram-28,"Tramway 28 dans les ruelles d'Alfama, Lisbonne","Le célèbre tram jaune 28 négocie un virage serré dans les ruelles pentues d'Alfama. Les azulejos bleus habillent les murs de la vieille ville.","portugal,lisbonne,tram,alfama,azulejos,rue,jaune,historique"
sintra-palais-pena,"Palais de Pena dans la brume, Sintra","Le palais de Pena en rouge et jaune surgit au-dessus des pins dans la brume matinale. Cette folie romantique du XIXe siècle domine la Serra de Sintra.","portugal,sintra,palais,pena,brume,foret,romantique,château"
fiord-geiranger-norvege,"Fjord de Geiranger et les Sept Sœurs","Les cascades des Sept Sœurs plongent en blanc dans les eaux vertes du fjorord de Geiranger. Des pentes boisées encadrent cette merveille naturelle classée UNESCO.","norvege,geiranger,fjord,cascade,sept-soeurs,vert,unesco,paysage"
bergen-bryggen-norvege,"Les maisons hanséatiques de Bryggen sous la pluie","Les bâtisses colorées en bois de Bryggen se reflètent dans le port de Bergen sous une pluie fine de novembre. Classé au patrimoine mondial de l'humanité.","norvege,bergen,bryggen,hanseatique,port,pluie,couleur,patrimoine"
longyearbyen-svalbard,"Vue depuis Longyearbyen sur un fjord arctique","La neige recouvre les montagnes autour de Longyearbyen dans l'archipel du Svalbard. Une lumière polaire rasante colore le ciel en violet et orange.","norvege,svalbard,arctique,longyearbyen,neige,montagne,lumière-polaire"
bagan-temples-myanmar,"Plaine de Bagan et ses milliers de pagodes au lever du soleil","Des milliers de temples et stupas bouddhistes émergent de la brume dorée sur la plaine de Bagan. Un lever de soleil vu depuis le haut d'une tour du XIe siècle.","myanmar,bagan,temple,pagode,bouddhisme,lever-du-soleil,brume,patrimoine"
inle-lake-pecheur,"Pêcheur à rame unique sur le lac Inle","Un pêcheur birman rame avec sa jambe en équilibre sur la proue de sa barque effilée. Silhouette à contre-jour sur le lac Inle au crépuscule.","myanmar,lac-inle,pecheur,silhouette,crepuscule,eau,barque,tradition"
yangon-shwedagon-pagoda,"Pagode Shwedagon illuminée la nuit, Yangon","La pagode Shwedagon couverte de feuilles d'or scintille sous les projecteurs dans la nuit de Yangon. 98 mètres d'or massif dominent la ville depuis la colline Singuttara.","myanmar,yangon,shwedagon,pagode,or,nuit,bouddhisme,illumination"
marrakech-souk-tanneries,"Tanneries de Chouwara, Marrakech","Les cuves circulaires de teinture des tanneries de Chouwara forment une palette de couleurs vives. L'artisanat du cuir continue ici comme il y a neuf siècles.","maroc,marrakech,tannerie,souk,couleur,artisanat,tradition,medina"
sahara-dunes-erg-chebbi,"Dunes de l'Erg Chebbi au lever du soleil","Les dunes orangées de l'Erg Chebbi projettent de longues ombres bleues au lever du soleil. Un désert de sable rouge qui touche la frontière algérienne.","maroc,sahara,erg-chebbi,dune,desert,lever-du-soleil,sable,orange"
essaouira-remparts-ocean,"Remparts d'Essaouira battus par l'Atlantique","Les vagues de l'Atlantique s'écrasent contre les murailles ocre d'Essaouira. Des mouettes et des cormorans profitent du vent du large dans la ville bleue et blanche.","maroc,essaouira,rempart,ocean,atlantique,vague,historique,vent"
havane-voiture-ancienne-cuba,"Voiture américaine des années 50 dans La Havane","Une Chevrolet turquoise de 1957 longe le Malecón baigné de soleil à La Havane. Ces almendrones sont devenus le symbole vivant de l'île Cuba.","cuba,havane,voiture,vintage,malecón,couleur,américaine,années-50"
trinidad-plaza-mayor-cuba,"Plaza Mayor et ses maisons coloniales, Trinidad","La Plaza Mayor de Trinidad est entourée d'édifices coloniaux pastel. Classée au patrimoine mondial de l'UNESCO, cette ville du XVIe siècle est parfaitement conservée.","cuba,trinidad,plaza,colonial,pastel,patrimoine,UNESCO,architecture"
vallee-vinales-cuba,"Mogotes et champs de tabac dans la Vallée de Viñales","Les curieux reliefs calcaires appelés mogotes émergent des champs de tabac de Viñales. Une vallee préservée dans la province de Pinar del Río.","cuba,vinales,mogotes,tabac,vallee,karst,vert,paysage"
ubud-riziere-tegallalang,"Rizières en terrasses de Tegallalang, Bali","Les terrasses de riz de Tegallalang dessinent des courbes vertes géométriques dans la colline. L'irrigation traditionnelle balinaise subak est inscrite à l'UNESCO.","bali,indonesie,ubud,riziere,terrasse,vert,subak,culture"
temple-uluwatu-bali,"Temple de Uluwatu au coucher du soleil sur la falaise","Le temple de Uluwatu perché sur une falaise de 70 mètres au-dessus de l'océan Indien. Le soleil descend à l'horizon dans une explosion d'orange et de rouge.","bali,indonesie,uluwatu,temple,falaise,coucher-de-soleil,ocean,hindouisme"
komodo-dragon-indonesie,"Dragon de Komodo sur l'île de Rinca","Un varan de Komodo adulte de deux mètres avance lentement sur les herbes sèches de l'île de Rinca. La langue bifide teste l'air, à l'affût d'une proie.","indonesie,komodo,dragon,varan,wildlife,reptile,ile,nature"
patagonie-torres-del-paine,"Torres del Paine au lever du soleil, Patagonie","Les trois tours de granit de Torres del Paine s'embrasent de rouge au lever du soleil. Ce sommet emblématique de Patagonie est entouré des nuages rapides du vent austral.","chili,patagonie,torres-del-paine,montagne,granit,lever-du-soleil,vent,austral"
atacama-geysers-sol-de-manana,"Geysers del Tatio au lever du soleil, Atacama","Les jets de vapeur des Geysers del Tatio s'élèvent à 4300 mètres d'altitude dans le désert d'Atacama. L'air froid du matin crée un ballet de colonnes blanches dans la lumière rasante.","chili,atacama,geyser,del-tatio,altitude,vapeur,lever-du-soleil,désert"
patagonie-glacier-perito-moreno,"Glacier Perito Moreno et ses murs de glace bleu","La paroi du glacier Perito Moreno culmine à 74 mètres au-dessus du lac Argentino. Les craquements et vêlages résonnent en permanence dans le silence des Andes.","argentine,patagonie,perito-moreno,glacier,glace,bleu,lac,vêlage"
